名称,地址,房型,面积,朝向,装修,楼层,建成时间,楼层结构,总价格,平方价格,关注度,发布时间
国光苑 2室2厅 东,八里小区,2室2厅,78.02平米,东,简装,高楼层(共7层),2000年建,板楼,70万,"8,973元/平",1人关注,15天以前发布
驿都城 2室2厅 东南,龙泉驿城区,2室2厅,73.04平米,东南,精装,中楼层(共32层),2017年建,塔楼,113万,"15,471元/平",0人关注,12天以前发布
水漪袅铜 2室2厅 南,航空路,2室2厅,82.39平米,南,简装,中楼层(共12层),2005年建,板塔结合,168万,"20,391元/平",1人关注,15天以前发布
中铁塔米亚 2室2厅 西北,成外,2室2厅,75.31平米,西北,精装,中楼层(共17层),2013年建,板塔结合,97万,"12,881元/平",3人关注,15天以前发布
凯悦新城 2室1厅 西,川音,2室1厅,79.05平米,西,简装,中楼层(共12层),2005年建,塔楼,109万,"13,789元/平",0人关注,13天以前发布
凯悦新城 1室0厅 东南 南,川音,1室0厅,41.37平米,东南 南,其他,低楼层(共12层),2005年建,塔楼,60万,"14,504元/平",0人关注,16天以前发布
育才都市家园二期 2室1厅 南,东光小区,2室1厅,80.48平米,南,简装,高楼层(共11层),2006年建,塔楼,149万,"18,514元/平",2人关注,15天以前发布
润扬双河鹭岛 2室2厅 南,毗河,2室2厅,88.08平米,南,精装,中楼层(共18层),2012年建,板楼,96万,"10,900元/平",0人关注,9天以前发布
华汇天地 2室1厅 东北,华府,2室1厅,70.46平米,东北,精装,中楼层(共32层),2018年建,板塔结合,149.5万,"21,218元/平",2人关注,16天以前发布
兴元丽园B区 3室1厅 西南,武侯立交,3室1厅,70.42平米,西南,精装,中楼层(共11层),2004年建,板塔结合,99万,"14,059元/平",1人关注,10天以前发布
华腾舒云居 2室1厅 北,蛟龙港,2室1厅,57.33平米,北,简装,低楼层(共13层),2015年建,塔楼,98万,"17,095元/平",0人关注,13天以前发布
锦蓉佳苑 2室1厅 南,三圣乡,2室1厅,86.93平米,南,精装,中楼层(共32层),2014年建,板塔结合,198万,"22,777元/平",1人关注,15天以前发布
优品尚东三期 4室1厅 南 北,万年场,4室1厅,128.74平米,南 北,精装,高楼层(共32层),2015年建,板塔结合,230万,"17,866元/平",12人关注,2个月以前发布
碧云天 5室3厅 西南,双楠,5室3厅,253.47平米,西南,简装,高楼层(共11层),2001年建,板塔结合,330万,"13,020元/平",10人关注,3个月以前发布
檀香山 2室2厅 东南,高朋,2室2厅,97.56平米,东南,精装,18层,2009年建,板塔结合,175万,"17,938元/平",14人关注,2个月以前发布
万景峰一期 5室2厅 东南,高新西,5室2厅,108.94平米,东南,精装,中楼层(共33层),2012年建,板塔结合,145万,"13,311元/平",1人关注,3个月以前发布
中央花园一期三组团 4室2厅 南,五大花园,4室2厅,163.8平米,南,简装,中楼层(共8层),1997年建,板楼,123万,"7,510元/平",8人关注,4个月以前发布
恒大都汇华庭 2室2厅 西南,合江亭,2室2厅,87.75平米,西南,精装,中楼层(共50层),2015年建,塔楼,335万,"38,177元/平",3人关注,2个月以前发布
恒大都汇华庭 1室2厅 东南,合江亭,1室2厅,90.98平米,东南,精装,低楼层(共50层),2015年建,塔楼,245万,"26,929元/平",14人关注,一年前发布
金楠国际 3室1厅 东,红牌楼,3室1厅,116.32平米,东,精装,低楼层(共11层),2008年建,板楼,165万,"14,186元/平",136人关注,一年前发布
华润国际社区 3室2厅 东南,大面,3室2厅,78.76平米,东南,精装,中楼层(共41层),2016年建,板塔结合,131.5万,"16,697元/平",4人关注,1个月以前发布
龙腾东麓城 3室1厅 西北,东山,3室1厅,67.54平米,西北,简装,低楼层(共32层),2016年建,板塔结合,66.8万,"9,891元/平",1人关注,2个月以前发布
格调城 3室2厅 东南,东山,3室2厅,88.12平米,东南,精装,中楼层(共32层),2012年建,塔楼,93万,"10,554元/平",1人关注,7个月以前发布
童子街庭苑 3室1厅 西北 东北,太升路,3室1厅,139.05平米,西北 东北,简装,中楼层(共23层),2008年建,板楼,335万,"24,093元/平",0人关注,8天以前发布
碧莲雅舍 2室1厅 南,九眼桥,2室1厅,76.92平米,南,简装,中楼层(共6层),2004年建,板塔结合,123万,"15,991元/平",1人关注,3个月以前发布
中粮香颂丽都 3室1厅 东南,丽都,3室1厅,78.13平米,东南,精装,中楼层(共19层),2015年建,板楼,210万,"26,879元/平",11人关注,2个月以前发布
润禾花园 4室1厅 东南,大丰,4室1厅,129.76平米,东南,精装,中楼层(共22层),2013年建,塔楼,175万,"13,487元/平",1人关注,5天以前发布
龙城国际 4室2厅 东北,橡树湾,4室2厅,122.46平米,东北,精装,33层,2013年建,板塔结合,184万,"15,026元/平",1人关注,6天以前发布
朝阳逸景 2室1厅 南,莲花,2室1厅,72.45平米,南,简装,低楼层(共12层),2004年建,板塔结合,128万,"17,668元/平",18人关注,一年前发布
南阳盛世 3室1厅 东,南湖,3室1厅,147平米,东,简装,高楼层(共29层),2011年建,板塔结合,270万,"18,368元/平",0人关注,2个月以前发布
榕苑 4室2厅 南,草金立交,4室2厅,137.21平米,南,简装,高楼层(共6层),2004年建,板楼,134万,"9,767元/平",1人关注,2个月以前发布
时代花城一期 3室1厅 东南,郫县城区,3室1厅,117.93平米,东南,简装,中楼层(共11层),2009年建,板楼,97万,"8,226元/平",2人关注,6天以前发布
西江月 3室2厅 东南,成外,3室2厅,127.74平米,东南,精装,低楼层(共17层),2009年建,板塔结合,126万,"9,864元/平",27人关注,一年前发布
龙华花园 3室2厅 东南,龙泉驿城区,3室2厅,88.63平米,东南,精装,高楼层(共7层),2005年建,板楼,68.8万,"7,763元/平",8人关注,3个月以前发布
格兰玺城 3室1厅 东南,航天,3室1厅,110.48平米,东南,简装,高楼层(共26层),2013年建,板塔结合,105万,"9,504元/平",55人关注,一年前发布
国光揽悦 4室2厅 南,毗河,4室2厅,135.17平米,南,毛坯,高楼层(共20层),2014年建,塔楼,130万,"9,618元/平",1人关注,3天以前发布
金仙桥路15号川铁宿舍 4室2厅 西南,花牌坊,4室2厅,138.73平米,西南,精装,低楼层(共7层),2000年建,板楼,178.5万,"12,867元/平",15人关注,5个月以前发布
恒大未来城二期 4室2厅 南,光华大道沿线,4室2厅,139.69平米,南,精装,低楼层(共32层),2020年建,塔楼,209万,"14,962元/平",1人关注,8天以前发布
中海右岸一期 3室2厅 东,华府,3室2厅,82.73平米,东,精装,低楼层(共33层),2019年建,板塔结合,182万,"22,000元/平",14人关注,4个月以前发布
傲城 3室2厅 西北,犀浦,3室2厅,100.22平米,西北,精装,高楼层(共31层),2015年建,板塔结合,138万,"13,770元/平",3人关注,6个月以前发布
佳兆业君汇上品 4室2厅 东,南湖,4室2厅,139.08平米,东,精装,高楼层(共33层),2013年建,板塔结合,265万,"19,054元/平",103人关注,9个月以前发布
清河阳光 3室1厅 南,万家湾,3室1厅,139.7平米,南,简装,中楼层(共18层),2010年建,板塔结合,190万,"13,601元/平",11人关注,一年前发布
万景峰一期 3室2厅 东北,高新西,3室2厅,79.93平米,东北,精装,高楼层(共33层),2012年建,塔楼,97万,"12,136元/平",1人关注,4个月以前发布
光华锦苑 3室2厅 北,外光华,3室2厅,135.82平米,北,毛坯,低楼层(共21层),2013年建,板塔结合,335万,"24,665元/平",57人关注,一年前发布
天鹅湖花园 4室1厅 西南 西 西北 北,新会展,4室1厅,200.66平米,西南 西 西北 北,简装,中楼层(共32层),2008年建,板楼,320万,"15,948元/平",226人关注,一年前发布
万科金色城品 3室2厅 西北,十陵,3室2厅,87.24平米,西北,精装,低楼层(共33层),2015年建,板楼,155万,"17,768元/平",2人关注,3个月以前发布
北城映像东区 3室2厅 西北,青白江,3室2厅,113.61平米,西北,简装,低楼层(共16层),2014年建,板塔结合,79.9万,"7,033元/平",0人关注,3个月以前发布
四季康城 3室2厅 东,龙泉驿城区,3室2厅,84.56平米,东,精装,中楼层(共33层),2013年建,板塔结合,125万,"14,783元/平",1人关注,1个月以前发布
千居朝阳 3室1厅 东,万象城,3室1厅,102.95平米,东,简装,高楼层(共18层),2007年建,塔楼,175万,"16,999元/平",11人关注,7个月以前发布
阳光100米娅中心一期 2室1厅 北 东北,万年场,2室1厅,76.91平米,北 东北,精装,中楼层(共29层),2014年建,板塔结合,153.8万,"19,998元/平",3人关注,2个月以前发布
蓝光富丽城 3室2厅 东南,金牛万达,3室2厅,120.38平米,东南,毛坯,低楼层(共18层),2005年建,塔楼,145万,"12,046元/平",7人关注,8个月以前发布
置信丽都花园城D区 3室2厅 东北,新双楠,3室2厅,122.29平米,东北,精装,中楼层(共13层),2009年建,板塔结合,280万,"22,897元/平",3人关注,1个月以前发布
干警宿舍 2室2厅 东,双楠,2室2厅,75.84平米,东,简装,高楼层(共7层),2000年建,塔楼,60万,"7,912元/平",43人关注,一年前发布
首创娇子1号 3室1厅 东南,卓锦城,3室1厅,96.24平米,东南,精装,中楼层(共34层),2018年建,板塔结合,242.8万,"25,229元/平",35人关注,4个月以前发布
佳兆业君汇上品 3室1厅 东南,南湖,3室1厅,105.63平米,东南,精装,高楼层(共33层),2013年建,板塔结合,208万,"19,692元/平",7人关注,3个月以前发布
双发金英汇 1室1厅 南,航空路,1室1厅,50.62平米,南,简装,低楼层(共24层),2011年建,板楼,103万,"20,348元/平",1人关注,一年前发布
华润二十四城七期 3室2厅 南,万象城,3室2厅,93平米,南,简装,低楼层(共34层),2018年建,板塔结合,246万,"26,452元/平",329人关注,7个月以前发布
正成名城左岸 3室1厅 东南,红光,3室1厅,85.84平米,东南,简装,高楼层(共28层),2008年建,板塔结合,79万,"9,204元/平",2人关注,1个月以前发布
四季康城 3室2厅 东北,龙泉驿城区,3室2厅,89.72平米,东北,简装,中楼层(共34层),2013年建,板塔结合,115万,"12,818元/平",2人关注,1个月以前发布
蓝光凯丽美域 3室1厅 西南,金沙,3室1厅,87.01平米,西南,简装,高楼层(共31层),2010年建,塔楼,235万,"27,009元/平",7人关注,3个月以前发布
西城尚锦 3室2厅 南,外光华,3室2厅,93.43平米,南,简装,高楼层(共22层),2015年建,板塔结合,253万,"27,080元/平",6人关注,一年前发布
四季金悦 3室1厅 南 北,蛟龙港,3室1厅,83.21平米,南 北,精装,高楼层(共12层),2016年建,板塔结合,146万,"17,546元/平",0人关注,12天以前发布
知贤坊 1室1厅 北,光华泡小,1室1厅,45.69平米,北,精装,低楼层(共18层),2009年建,塔楼,105万,"22,981元/平",0人关注,6天以前发布
新城吾悦广场 3室2厅 东北,龙泉驿城区,3室2厅,87.89平米,东北,简装,中楼层(共34层),2016年建,板塔结合,155万,"17,636元/平",0人关注,10天以前发布
交桂二巷23号 3室2厅 东,西南交大,3室2厅,88.45平米,东,精装,高楼层(共7层),2000年建,板楼,80万,"9,045元/平",1人关注,13天以前发布
永丰街14号 2室1厅 南,衣冠庙,2室1厅,57.61平米,南,简装,中楼层(共6层),2000年建,板楼,66万,"11,457元/平",2人关注,12天以前发布
花样年华常青藤 3室2厅 南,洪河,3室2厅,108.72平米,南,精装,低楼层(共6层),2006年建,板楼,140万,"12,878元/平",1人关注,8天以前发布
金沙巷10号 3室1厅 东南,沙湾,3室1厅,73.18平米,东南,简装,中楼层(共7层),1996年建,板楼,80万,"10,932元/平",0人关注,6天以前发布
东御佲家 4室1厅 西南,三圣乡,4室1厅,137.62平米,西南,精装,低楼层(共38层),2017年建,塔楼,358万,"26,014元/平",2人关注,9天以前发布
嘉宇天琢城 2室1厅 东南,花照壁,2室1厅,77.52平米,东南,精装,高楼层(共32层),2009年建,板塔结合,108万,"13,932元/平",0人关注,6天以前发布
金竹苑C区 3室2厅 西南,神仙树,3室2厅,114.62平米,西南,精装,中楼层(共7层),2000年建,板楼,136.8万,"11,936元/平",1人关注,9天以前发布
置信巴厘岛D区 3室1厅 东,武侯立交,3室1厅,87.76平米,东,简装,高楼层(共17层),2008年建,塔楼,185万,"21,081元/平",0人关注,10天以前发布
钻石年代 3室2厅 南,营门口,3室2厅,99.27平米,南,精装,中楼层(共19层),2007年建,板楼,146万,"14,708元/平",1人关注,14天以前发布
名士公馆 4室2厅 南 北,航空路,4室2厅,156.53平米,南 北,其他,低楼层(共11层),2003年建,板楼,299万,"19,102元/平",0人关注,14天以前发布
大庆蜀苑 2室1厅 东南,国色天乡,2室1厅,88.06平米,东南,精装,中楼层(共5层),2008年建,板楼,60.8万,"6,905元/平",1人关注,8天以前发布
锦江城市花园二期 2室2厅 西南,三圣乡,2室2厅,71.71平米,西南,简装,高楼层(共34层),2010年建,板塔结合,118万,"16,456元/平",1人关注,10天以前发布
三洲娇子苑 1室0厅 东南,红星路,1室0厅,38.39平米,东南,简装,高楼层(共6层),2005年建,塔楼,135万,"35,166元/平",0人关注,4天以前发布
致祥路37号 3室1厅 南,驷马桥,3室1厅,92.8平米,南,简装,中楼层(共7层),2000年建,板楼,90万,"9,699元/平",0人关注,11天以前发布
今日花园 3室2厅 东南,犀浦,3室2厅,114平米,东南,其他,低楼层(共6层),2006年建,板楼,102万,"8,948元/平",0人关注,10天以前发布
凯悦新城 1室1厅 东南,川音,1室1厅,33.07平米,东南,简装,中楼层(共12层),2005年建,塔楼,45万,"13,608元/平",2人关注,6天以前发布
中华家园西区 3室2厅 南,西南财大,3室2厅,122.69平米,南,精装,中楼层(共7层),2004年建,板楼,240万,"19,562元/平",3人关注,12天以前发布
华宇阳光水岸 2室1厅 东南,驷马桥,2室1厅,65.56平米,东南,精装,中楼层(共21层),2010年建,板塔结合,110万,"16,779元/平",2人关注,6天以前发布
华宇阳光四季 2室1厅 南,驷马桥,2室1厅,63.07平米,南,精装,中楼层(共17层),2010年建,板塔结合,119万,"18,868元/平",0人关注,10天以前发布
禾嘉利好 3室1厅 南,金牛万达,3室1厅,91.94平米,南,简装,高楼层(共18层),2007年建,板塔结合,113万,"12,291元/平",2人关注,9天以前发布
中德英伦联邦B区 3室1厅 西 西北,中德,3室1厅,74.36平米,西 西北,精装,高楼层(共43层),2018年建,板塔结合,199万,"26,762元/平",0人关注,14天以前发布
水韵天府 3室1厅 东,五块石,3室1厅,107.23平米,东,简装,中楼层(共18层),2006年建,板楼,125万,"11,658元/平",0人关注,12天以前发布
锦江城市花园二期 2室2厅 东南,三圣乡,2室2厅,51.83平米,东南,简装,高楼层(共34层),2011年建,板塔结合,83万,"16,014元/平",1人关注,15天以前发布
北大资源燕楠国际 3室2厅 南,蛟龙港,3室2厅,81.18平米,南,精装,高楼层(共13层),2017年建,板塔结合,146万,"17,985元/平",0人关注,15天以前发布
锦江苑(武侯) 2室1厅 东,华西,2室1厅,86平米,东,简装,高楼层(共7层),1995年建,板楼,90万,"10,466元/平",2人关注,9天以前发布
三利麓山城翠薇谷 2室1厅 南,麓山,2室1厅,85.89平米,南,简装,高楼层(共32层),2018年建,塔楼,190万,"22,122元/平",0人关注,12天以前发布
光华苑一期 2室1厅 南,草堂,2室1厅,69.89平米,南,简装,高楼层(共7层),2000年建,塔楼,85万,"12,162元/平",2人关注,12天以前发布
御龙山二期 2室1厅 东 东北,万年场,2室1厅,83.37平米,东 东北,精装,低楼层(共44层),2017年建,板塔结合,186万,"22,311元/平",9人关注,9天以前发布
香榭国际 2室2厅 东,中和,2室2厅,70.57平米,东,精装,低楼层(共27层),2012年建,塔楼,162万,"22,956元/平",3人关注,12天以前发布
天空城 2室2厅 东南,万年场,2室2厅,86.05平米,东南,毛坯,中楼层(共28层),2010年建,塔楼,145万,"16,851元/平",1人关注,8天以前发布
马鞍北路社区 2室1厅 东南,马鞍路,2室1厅,61.79平米,东南,简装,中楼层(共6层),2000年建,板塔结合,61万,"9,873元/平",2人关注,11天以前发布
锦蓉佳苑 2室1厅 南,三圣乡,2室1厅,86.93平米,南,精装,中楼层(共32层),2014年建,板塔结合,198万,"22,777元/平",1人关注,15天以前发布
沙河源上金府 2室1厅 东,五块石,2室1厅,87.55平米,东,精装,高楼层(共22层),2009年建,塔楼,113万,"12,907元/平",1人关注,9天以前发布
华腾舒云居 2室1厅 北,蛟龙港,2室1厅,57.33平米,北,简装,低楼层(共13层),2015年建,塔楼,98万,"17,095元/平",0人关注,13天以前发布
大成郡 2室1厅 西,航空港,2室1厅,78.59平米,西,精装,低楼层(共14层),2015年建,塔楼,118万,"15,015元/平",1人关注,15天以前发布
博雅新城A区 2室2厅 西,大丰,2室2厅,88.56平米,西,简装,高楼层(共27层),2013年建,塔楼,80万,"9,034元/平",0人关注,10天以前发布
润扬双河鹭岛 2室2厅 南,毗河,2室2厅,88.08平米,南,精装,中楼层(共18层),2012年建,板楼,96万,"10,900元/平",0人关注,9天以前发布
兴元丽园B区 3室1厅 西南,武侯立交,3室1厅,70.42平米,西南,精装,中楼层(共11层),2004年建,板塔结合,99万,"14,059元/平",1人关注,10天以前发布
华汇天地 2室1厅 东北,华府,2室1厅,70.46平米,东北,精装,中楼层(共32层),2018年建,板塔结合,149.5万,"21,218元/平",2人关注,16天以前发布
大庆蜀苑 2室1厅 东南,国色天乡,2室1厅,87.52平米,东南,精装,中楼层(共5层),2008年建,板楼,49万,"5,599元/平",5人关注,16天以前发布
华馨名屋 1室1厅 东南,外双楠,1室1厅,52.56平米,东南,简装,低楼层(共6层),2004年建,板楼,75万,"14,270元/平",0人关注,8天以前发布
温哥华花园 2室1厅 东南,航空港,2室1厅,91.57平米,东南,精装,高楼层(共16层),2009年建,塔楼,120万,"13,105元/平",2人关注,9天以前发布
鑫苑名家一期 2室1厅 东南,卓锦城,2室1厅,55.52平米,东南,简装,高楼层(共34层),2011年建,板塔结合,85万,"15,310元/平",0人关注,8天以前发布
清水河畔 1室1厅 西南,外金沙,1室1厅,50.09平米,西南,其他,低楼层(共23层),2008年建,板塔结合,63.8万,"12,738元/平",1人关注,12天以前发布
石人南路35号 2室1厅 西南,府南新区,2室1厅,63.57平米,西南,简装,中楼层(共7层),1996年建,板楼,78万,"12,270元/平",1人关注,14天以前发布
摩根中心 2室1厅 西北,九眼桥,2室1厅,81.77平米,西北,精装,中楼层(共40层),2012年建,塔楼,165万,"20,179元/平",1人关注,8天以前发布
九龙仓时代小镇 2室2厅 西北,蛟龙港,2室2厅,68.65平米,西北,简装,中楼层(共11层),2014年建,板塔结合,113万,"16,461元/平",1人关注,8天以前发布
电子科大东院 2室1厅 东南,八里小区,2室1厅,80.31平米,东南,简装,低楼层(共18层),2000年建,板塔结合,110万,"13,697元/平",0人关注,10天以前发布
清江美庐 2室2厅 东,外光华,2室2厅,59.99平米,东,精装,中楼层(共18层),2013年建,塔楼,105万,"17,503元/平",0人关注,7天以前发布
光华碧邻 2室1厅 南,外光华,2室1厅,61.73平米,南,精装,高楼层(共20层),2005年建,塔楼,128万,"20,736元/平",0人关注,9天以前发布
西城花园 3室2厅 南,西南财大,3室2厅,139.98平米,南,精装,中楼层(共7层),2003年建,板楼,175万,"12,502元/平",10人关注,4个月以前发布
东方华大广场 3室2厅 东南,龙泉驿城区,3室2厅,95.49平米,东南,精装,中楼层(共22层),2016年建,塔楼,116万,"12,148元/平",6人关注,9个月以前发布
全兴花园 3室2厅 东南,沙湾,3室2厅,150平米,东南,简装,高楼层(共18层),2002年建,板塔结合,185万,"12,334元/平",3人关注,一年前发布
美洲花园棕榈湾 2室1厅 东南,新北,2室1厅,79.22平米,东南,精装,低楼层(共22层),2016年建,板楼,125万,"15,779元/平",15人关注,9个月以前发布
万景峰二期 3室2厅 南,高新西,3室2厅,76.93平米,南,精装,高楼层(共33层),2012年建,塔楼,102万,"13,259元/平",5人关注,10个月以前发布
锦江城市花园三期 3室1厅 东南,三圣乡,3室1厅,74.32平米,东南,精装,高楼层(共34层),2011年建,板塔结合,135万,"18,165元/平",87人关注,1个月以前发布
东骏湖景湾 3室1厅 南,新都城区,3室1厅,125.52平米,南,简装,高楼层(共7层),2010年建,板塔结合,158万,"12,588元/平",1人关注,4个月以前发布
华侨城原岸 2室1厅 东南,华侨城,2室1厅,80.73平米,东南,精装,中楼层(共30层),2017年建,塔楼,141万,"17,466元/平",5人关注,1个月以前发布
龙城1号 3室1厅 东,大面,3室1厅,113.5平米,东,精装,低楼层(共6层),2008年建,板楼,238万,"20,970元/平",3人关注,4个月以前发布
百花西路25号 4室1厅 南,浣花溪,4室1厅,62.74平米,南,精装,高楼层(共6层),1999年建,板楼,158万,"25,184元/平",2人关注,1个月以前发布
华都美林湾 3室2厅 西南,三圣乡,3室2厅,124.77平米,西南,精装,高楼层(共33层),2012年建,塔楼,260万,"20,839元/平",0人关注,2个月以前发布
华侨城原岸 3室2厅 北,华侨城,3室2厅,91.51平米,北,精装,低楼层(共30层),2018年建,塔楼,168万,"18,359元/平",25人关注,一年前发布
蓝光锦绣城 3室2厅 北,成渝立交,3室2厅,77.96平米,北,精装,低楼层(共31层),2014年建,板塔结合,215万,"27,579元/平",17人关注,8个月以前发布
太平南新街68号 3室1厅 南,川大,3室1厅,80.55平米,南,简装,低楼层(共7层),1985年建,板楼,80万,"9,932元/平",33人关注,5个月以前发布
龙湖时代天街 3室2厅 东南,高新西,3室2厅,108.58平米,东南,精装,中楼层(共29层),2017年建,板塔结合,169.8万,"15,639元/平",3人关注,9个月以前发布
交大智能二期 3室2厅 南 北,西南交大,3室2厅,130.63平米,南 北,简装,低楼层(共6层),2000年建,板楼,210万,"16,076元/平",10人关注,10个月以前发布
蓝光富丽花城 3室2厅 西,动物园,3室2厅,83.03平米,西,简装,中楼层(共18层),2008年建,板塔结合,118万,"14,212元/平",4人关注,3个月以前发布
华宇楠苑 3室2厅 南,新双楠,3室2厅,101.97平米,南,简装,中楼层(共11层),2012年建,板塔结合,245万,"24,027元/平",5人关注,4个月以前发布
俊发时光俊园 3室1厅 西,外光华,3室1厅,86.68平米,西,精装,高楼层(共21层),2014年建,塔楼,222万,"25,612元/平",1人关注,2个月以前发布
东湖国际 3室2厅 东南,东湖,3室2厅,88.49平米,东南,毛坯,高楼层(共31层),2012年建,塔楼,239万,"27,009元/平",17人关注,3个月以前发布
华西花园一期 3室2厅 东北,万年场,3室2厅,99.75平米,东北,简装,低楼层(共16层),2010年建,板塔结合,142万,"14,236元/平",12人关注,1个月以前发布
锦洲花园 3室2厅 西,三官堂,3室2厅,112.31平米,西,简装,中楼层(共11层),2004年建,塔楼,192万,"17,096元/平",11人关注,1个月以前发布
祥和里96号 3室2厅 南,猛追湾,3室2厅,98.85平米,南,精装,中楼层(共7层),1996年建,板楼,125万,"12,646元/平",10人关注,1个月以前发布
汇厦少城琴台府 3室2厅 西南,人民公园,3室2厅,107.14平米,西南,精装,39层,2014年建,板塔结合,325万,"30,335元/平",29人关注,9个月以前发布
朗基御香 3室2厅 东南,成外,3室2厅,84.77平米,东南,精装,高楼层(共24层),2019年建,塔楼,154万,"18,167元/平",0人关注,5天以前发布
温泉路19号 4室2厅 东南,温江老城,4室2厅,135.77平米,东南,精装,中楼层(共6层),1998年建,暂无数据,99万,"7,292元/平",7人关注,1个月以前发布
置信学府杏林一期 5室2厅 西,永宁,5室2厅,161.72平米,西,毛坯,高楼层(共18层),2013年建,板塔结合,148万,"9,152元/平",9人关注,一年前发布
绿地悦蓉公馆 3室1厅 西,龙潭寺,3室1厅,108.76平米,西,毛坯,高楼层(共29层),2020年建,板塔结合,149万,"13,700元/平",2人关注,3天以前发布
黄金时代(永丰路) 3室1厅 东北,衣冠庙,3室1厅,114.56平米,东北,简装,中楼层(共11层),2004年建,塔楼,187万,"16,324元/平",66人关注,3个月以前发布
恒大新城二期 3室2厅 西北,光华大道沿线,3室2厅,124.15平米,西北,精装,高楼层(共33层),2018年建,板塔结合,163万,"13,130元/平",0人关注,6天以前发布
美洲花园三期 3室2厅 西,新北,3室2厅,106.52平米,西,精装,高楼层(共6层),2006年建,板楼,152万,"14,270元/平",1人关注,1个月以前发布
龙湖听蓝湾二期 3室1厅 南,大丰,3室1厅,138.2平米,南,毛坯,中楼层(共11层),2018年建,板塔结合,215万,"15,558元/平",0人关注,3天以前发布
祥和里96号 3室1厅 东南,猛追湾,3室1厅,99.61平米,东南,简装,中楼层(共7层),1996年建,板楼,92万,"9,237元/平",14人关注,1个月以前发布
伊甸阳光 3室2厅 东,航空路,3室2厅,120.23平米,东,精装,中楼层(共18层),2005年建,塔楼,229万,"19,047元/平",26人关注,一年前发布
润新花园一期 1室1厅 南,新北,1室1厅,42.7平米,南,简装,低楼层(共6层),2003年建,板楼,55万,"12,881元/平",4人关注,13天以前发布
公园1号 2室1厅 东南,红光,2室1厅,63.95平米,东南,精装,中楼层(共27层),2016年建,板塔结合,77.8万,"12,166元/平",0人关注,10天以前发布
二道桥街46号 2室1厅 东南,通惠门,2室1厅,81.41平米,东南,精装,中楼层(共7层),1999年建,板楼,120万,"14,741元/平",0人关注,10天以前发布
紫光兴城(彭州) 2室2厅 东南,彭州,2室2厅,84平米,东南,精装,中楼层(共18层),2015年建,塔楼,72.8万,"8,667元/平",0人关注,16天以前发布
城东雅郡 1室1厅 东南,东光小区,1室1厅,42.23平米,东南,简装,中楼层(共7层),2005年建,板楼,47.5万,"11,248元/平",3人关注,15天以前发布
城东雅郡 1室1厅 东南,东光小区,1室1厅,63.15平米,东南,简装,中楼层(共7层),2005年建,板楼,72万,"11,402元/平",4人关注,15天以前发布
量力健康城 2室2厅 东南,华侨城,2室2厅,76.65平米,东南,毛坯,高楼层(共32层),2018年建,板塔结合,97万,"12,655元/平",3人关注,11天以前发布
新光花园 2室1厅 南,紫荆,2室1厅,73.07平米,南,简装,中楼层(共7层),2000年建,板塔结合,76万,"10,401元/平",2人关注,8天以前发布
蜀都新邨 1室1厅 西南,郫县城区,1室1厅,50.04平米,西南,简装,低楼层(共31层),2014年建,板楼,33.5万,"6,695元/平",0人关注,10天以前发布
新界五期 2室1厅 东南,红牌楼,2室1厅,59.35平米,东南,简装,中楼层(共6层),2014年建,塔楼,119万,"20,051元/平",0人关注,15天以前发布
上风苑 2室1厅 西北,红光,2室1厅,69.43平米,西北,精装,中楼层(共28层),2012年建,塔楼,61.8万,"8,902元/平",0人关注,11天以前发布
丹桂苑(高新区) 2室1厅 南,中和,2室1厅,90.7平米,南,精装,中楼层(共6层),2005年建,板楼,134万,"14,774元/平",1人关注,8天以前发布
双顺路4号 2室1厅 南,府南新区,2室1厅,65.67平米,南,简装,中楼层(共7层),2002年建,板楼,79万,"12,030元/平",0人关注,8天以前发布
蓝光凯丽美域 3室1厅 西南,金沙,3室1厅,87.01平米,西南,简装,高楼层(共31层),2010年建,塔楼,235万,"27,009元/平",7人关注,3个月以前发布
正成名城左岸 3室1厅 东南,红光,3室1厅,85.84平米,东南,简装,高楼层(共28层),2008年建,板塔结合,79万,"9,204元/平",2人关注,1个月以前发布
干警宿舍 2室2厅 东,双楠,2室2厅,75.84平米,东,简装,高楼层(共7层),2000年建,塔楼,60万,"7,912元/平",43人关注,一年前发布
蓝光富丽花城 3室2厅 东南,动物园,3室2厅,88.46平米,东南,简装,中楼层(共18层),2008年建,板塔结合,135万,"15,262元/平",0人关注,1个月以前发布
蓝光富丽花城 3室2厅 南,动物园,3室2厅,86.89平米,南,精装,低楼层(共18层),2008年建,板塔结合,126万,"14,502元/平",10人关注,3个月以前发布
华润二十四城七期 3室2厅 南,万象城,3室2厅,93平米,南,简装,低楼层(共34层),2018年建,板塔结合,246万,"26,452元/平",329人关注,7个月以前发布
四季康城 3室2厅 东北,龙泉驿城区,3室2厅,89.72平米,东北,简装,中楼层(共34层),2013年建,板塔结合,115万,"12,818元/平",2人关注,1个月以前发布
香江半岛 3室1厅 东南,郫县城区,3室1厅,80.25平米,东南,精装,低楼层(共6层),2015年建,板塔结合,73万,"9,097元/平",3人关注,3个月以前发布
中国铁建北湖国际城溪檀三期 3室2厅 南,龙潭寺,3室2厅,127.56平米,南,精装,中楼层(共40层),2018年建,板塔结合,206万,"16,150元/平",15人关注,一年前发布
